"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 2; videowdth 320; videohight 240; 1508923358.31; Nummer 0; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.35; Nummer 1; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.38; Nummer 2; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.41; Nummer 3; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.45; Nummer 4; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.48; Nummer 5; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.52; Nummer 6; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.55; Nummer 7; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.58; Nummer 8; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.62; Nummer 9; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.65; Nummer 10; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.68; Nummer 11; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.72; Nummer 12; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.75; Nummer 13; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.79; Nummer 14; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.82; Nummer 15; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.85; Nummer 16; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.88; Nummer 17; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.92; Nummer 18; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.95; Nummer 19; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923358.99; Nummer 20; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.02; Nummer 21; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.05; Nummer 22; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.09; Nummer 23; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.12; Nummer 24; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.15; Nummer 25; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.19; Nummer 26; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.22; Nummer 27; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.25; Nummer 28; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.29; Nummer 29; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.32; Nummer 30; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.35; Nummer 31; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.39; Nummer 32; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.42; Nummer 33; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.46; Nummer 34; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.49; Nummer 35; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.52; Nummer 36; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.56; Nummer 37; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.59; Nummer 38; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.62; Nummer 39; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.66; Nummer 40; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.69; Nummer 41; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.73; Nummer 42; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.76; Nummer 43; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.79; Nummer 44; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.83; Nummer 45; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.86; Nummer 46; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.89; Nummer 47; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.93; Nummer 48; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.96; Nummer 49; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923359.99; Nummer 50; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.03; Nummer 51; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.06; Nummer 52; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.1; Nummer 53; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.13; Nummer 54; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.16; Nummer 55; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.19; Nummer 56; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.23; Nummer 57; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.26; Nummer 58; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.29; Nummer 59; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.33; Nummer 60; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.36; Nummer 61; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.4; Nummer 62; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.43; Nummer 63; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.46; Nummer 64; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.5; Nummer 65; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.53; Nummer 66; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.56; Nummer 67; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.6; Nummer 68; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.63; Nummer 69; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.66; Nummer 70; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.7; Nummer 71; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.73; Nummer 72; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.77; Nummer 73; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.8; Nummer 74; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.83; Nummer 75; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.86; Nummer 76; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.91; Nummer 77; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.93; Nummer 78; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923360.97; Nummer 79; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.0; Nummer 80; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.04; Nummer 81; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.07; Nummer 82; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.1; Nummer 83; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.13; Nummer 84; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.17; Nummer 85; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.2; Nummer 86; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.23; Nummer 87; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.27; Nummer 88; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.3; Nummer 89; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.33; Nummer 90; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.37; Nummer 91; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.4; Nummer 92; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.44; Nummer 93; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.47; Nummer 94; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.5; Nummer 95; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.54; Nummer 96; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.57; Nummer 97; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.6; Nummer 98; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.64; Nummer 99; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.67; Nummer 100; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.7; Nummer 101; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.74; Nummer 102; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.77; Nummer 103; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.81; Nummer 104; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.84; Nummer 105; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.87; Nummer 106; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.91; Nummer 107; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.94; Nummer 108; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923361.97; Nummer 109; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.01; Nummer 110; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.04; Nummer 111; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.07; Nummer 112; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.12; Nummer 113; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.14; Nummer 114; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.17; Nummer 115; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.21; Nummer 116; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.24; Nummer 117; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.27; Nummer 118; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.31; Nummer 119; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.34; Nummer 120; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.38; Nummer 121; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.41; Nummer 122; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.44; Nummer 123; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.48; Nummer 124; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.51; Nummer 125; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.54; Nummer 126; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.58; Nummer 127; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.61; Nummer 128; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.65; Nummer 129; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.68; Nummer 130; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.71; Nummer 131; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.75; Nummer 132; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.78; Nummer 133; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.81; Nummer 134; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.85; Nummer 135; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.88; Nummer 136; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.91; Nummer 137; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.95; Nummer 138; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923362.98; Nummer 139; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.01; Nummer 140; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.06; Nummer 141; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.08; Nummer 142; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.11; Nummer 143; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.15; Nummer 144; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.18; Nummer 145; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.21; Nummer 146; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.25; Nummer 147; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.28; Nummer 148; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.32; Nummer 149; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.35; Nummer 150; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.38; Nummer 151; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.42; Nummer 152; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.45; Nummer 153; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.48; Nummer 154; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.52; Nummer 155; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.55; Nummer 156; ;objekt
Kamera 2; videowdth 320; videohight 240; 1508923363.59; Nummer 157; ;objekt
